product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P001,lapte zuzu,Zuzu,1,l,lactate,08-05-25,14-05-25,12
P008,brânză telemea,Pilos,0.3,kg,lactate,08-05-25,14-05-25,10
P017,piept pui,Lidl,1,kg,carne,09-05-25,15-05-25,8
P034,cafea măcinată,Davidoff,0.25,kg,cafea,10-05-25,16-05-25,15
P028,ulei floarea-soarelui,Bunica,1,l,alimente de bază,08-05-25,14-05-25,7
P037,detergent lichid,Persil,2.5,l,produse de menaj,09-05-25,15-05-25,20
P040,șampon păr gras,Head & Shoulders,400,ml,îngrijire personală,10-05-25,16-05-25,18
P043,hârtie igienică 3 straturi,Zewa,10,role,produse de menaj,08-05-25,14-05-25,10
P052,ciocolată neagră 70%,Fin Carre,100,g,gustări,09-05-25,15-05-25,12
P055,cartofi albi,Lidl,1,kg,legume și fructe,10-05-25,16-05-25,6
P064,mălai extra,Pambac,1,kg,alimente de bază,08-05-25,14-05-25,5
P065,file somon,Lidl,0.2,kg,pește,09-05-25,15-05-25,10
P066,cremă de brânză,Almette,0.15,kg,lactate,10-05-25,16-05-25,8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
